"product_name","client","catch","point","accountopening","grant","campaign","spread_usd","fixflag_usd","spread_euro","fixflag_euro","spread_pond","fixflag_pond","spread_aud","fixflag_aud","spread_nzd","fixflag_nzd","spread_rand","fixflag_rand","swap_usd","swap_euro","swap_pond","swap_aud","swap_nzd","swap_rand","catch_swap","leverage","initial_fund","currency_unit","maginecall","losscut_alarm","losscut_line","currency_pair","base_currency","recommend_pair","yuan_yen","won_yen","rand_yen","credit24","credit_fee","remit_fee_yen","remit_fee_foreign","delivery","tsuishou_mail","kakaku_mail","yakutei_mail","telsupport","featurephone","iphone","android","asset_management","shihonkin","shihonkin_ps","sakimono","top_url","point_url","fee_url","leverage_url","swap_url","pair_url","service_url","support_url","trust_url","fxrank_url","adwards_url","img120x60","img300x250","list_order","point_order","fee_order","levarage_order","swap_order","pair_order","service_order","support_order","trust_order","rank1","rank2","rank3","keycode","client_url",0
"外為オンライン","外為オンライン","手数料０円、ドル/円スプレッド１銭原則固定、安心の信託保全
外為オンラインの使いやすいチャート
トレードに役立つ情報提供も充実",10000,"口座開設","口座開設後取引","口座開設＋お取引で楽天スーパーポイント
10,000ポイントプレゼント！",1,"原則固定",2," ",3," ",3," ",6," ",15," ",5,3,15,107,48,140,"スワップで選ぶなら、高金利通貨の豪ドル／円！
南アランド／円も取り扱ってます！","25倍",5000,"1万通貨単位","-","-",100%,24,"○","■ポンド/円・豪ドル/円
期間限定スプレッド縮小キャンペーン実施中！！","×","×","○","○","リアルタイム入金ご利用時無料","0円","－","×","○","○","○","○","○","○","○","信託保全","1億6,000万円",382.6,"関東財務局長（金商）第276号","http://grp08.ias.rakuten.co.jp/redirect/?r=510ab2fa3cf06452&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=9ee4541d04092db7&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=e329bae012189dec&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=bf288f13ce708660&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=b7304a82c49aee21&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=4f8e76f97071af9b&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=68de91dd997c6abe&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=e980a2c6293ee901&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=44073f35fd2d573f&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=510ab2fa3cf06452&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=510ab2fa3cf06452&c=737cfdf6cc2ca50e","gaitameonline_120_60.jpg","gaitameonline_300_250.jpg",2,4,9,"-",1,4,7,1,14,2,2,2,"gaitameonline","http://grp08.ias.rakuten.co.jp/redirect/?r=510ab2fa3cf06452&c=737cfdf6cc2ca50e",1
"ＦＸブロードネット","FXトレーディングシステムズ","新スプレッド発表！遂にドル円0.3銭

1000通貨でも取引手数料は無料で初心者でも始めやすい。　　　　　　　　　　　　　　　　　　　
　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
ＰＣさながらのスマートフォンアプリも大人気。",10000,"口座開設","口座開設後取引","友人紹介！２人で貰える5000円プレゼント",0.3," ",0.8," ",4.7," ",3.6," ",4.8," ",16.4," ",2,4,14,100,45,130,"ディトレだけじゃない！！長期運用派にはたまらない高スワップ、豪ドル円！","25倍",30000,"1,000通貨単位","-","-","1%から100%",24,"○","■米ドル/円
おなじみドル円！まずは情報を入手しやすい、身近な通貨で1000通貨からスタート！","×","×","○","○","クイック入金ご利用時無料","0円","－","×","×","×","○","○","○","○","×","信託保全","3億円",513.4,"関東財務局長（金商）　第244号","http://grp08.ias.rakuten.co.jp/redirect/?r=0d587ac5ccdfc8c7&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=c95a6b697689aae0&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=150983bd098e4046&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=05c33f8060bfc95d&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=fbc71597754a0012&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=6eb7a14b37e38c6a&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=2b1c917b39a0bc79&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=7e1fe97b837590f9&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=a66172ea3ef4fb60&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=0d587ac5ccdfc8c7&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=0d587ac5ccdfc8c7&c=737cfdf6cc2ca50e","20121019_fxts_120_60.jpg","fxts_300_250.gif",3,5,4,"-",9,5,2,12,13,3,3,3,"fxtsys","http://grp08.ias.rakuten.co.jp/redirect/?r=0d587ac5ccdfc8c7&c=737cfdf6cc2ca50e",2
"DMM FX","DMM.com証券","◆◇世界第３位！【ＤＭＭ　ＦＸ】２０１１年 第３四半期 月間取引高◇◆
※フォレックス・マグネイト「2011年第3四半期調査報告書」　世界のFX市場上位15社の月間売買高（7-9月期平均）業界最高水準スプレッド＜　USD/JPY　原則固定0.3銭！！＞
その他の通貨ペアも、業界最高水準のスプレッドでご提供します。
今なら口座開設キャンペーン実施中！！",18000,"口座開設","口座開設後取引","口座開設キャンペーンで\10,000キャッシュバック！期間限定スプレッドキャンペーンも実施中！",0.3," ",0.8," ",1.2," ",1.2," ",1.8," ",1.9," ",2,11,15,93,52,11,"FX取引の大きな魅力のスワップポイントもDMM FXではお客様本位！DMM FXでは保有しているポジションを決済することなく、スワップポイントのみ受け取る（出金）ことができます。
スワップポイントは日々（365日）発生する２国間の金利調整分がSWAPになります。
※市場価格の変動により、スワップの受取額と支払額に1円の差が生じる場合があります。","25倍",50000,"1万通貨単位","-","-",100%,20,"○","■米ドル/円
米ドル/円が断然お得！今なら原則固定0.3銭でご提供！ DMMFX口座をお持ちのお客様は有利なお取引が可能です","×","×","○","○","クイック入金の場合は無料","0円","－","×","×","○","○","○","○","○","○","完全信託保全","98億円",513.3,"関東財務局長（金商）第1629号","http://grp08.ias.rakuten.co.jp/redirect/?r=b3a8167a299e80ff&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=59f0231f884d2116&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=5f0813ea65bd1d43&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=8c42b55c0ffb7cd1&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=975a06e5e4e35b65&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=9a312a90195ecbaf&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=1b627e03ac21681a&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=8e3c668fd7eeb0c7&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=6ec47c9aff47108c&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=b3a8167a299e80ff&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=b3a8167a299e80ff&c=737cfdf6cc2ca50e","20111101_dmm_120_60.gif","20111101_dmm_300_250.gif",1,1,1,"-",7,12,6,9,1,1,1,1,"dmm","http://grp08.ias.rakuten.co.jp/redirect/?r=b3a8167a299e80ff&c=737cfdf6cc2ca50e",3
"LION FX","ヒロセ通商","取引手数料0円、取扱い通貨は50通貨ペア、1,000通貨から取引可能、
スプレッド【ドル円 0.4銭（原則固定）】【ポンド円 1.4銭（原則固定）】。
更に進化した取引システム「LION FX」。ヒロセ通商完全オリジナル
システムとして、業界最高水準のスペックで登場しました！",5000,"口座開設","口座開設後取引","【5,000ポイントGET!】話題の「LION FX」で今すぐ口座開設！",0.4,"原則固定",0.9,"原則固定",1.4,"原則固定",1.2,"原則固定",1.7,"原則固定",1.8,"原則固定",1,8,9,76,38,8,"スワップで人気の豪ドル/円！！","25倍",10000,"1,000通貨単位","-","-",100%,50,"○","■ポンド/円
1000通貨単位で取引可能！スプレッドも1銭～4銭","×","×","○","○","各金融機関に順ずる","0円","お客様負担","○","×","○","○","○","○","○","○","信託保全","4億2,079万円",329.4,"近畿財務局長(金商)第41号","http://grp08.ias.rakuten.co.jp/redirect/?r=9ca20d27f6b7cf20&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=93f71c5475868b9b&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=6910037a4a7962b0&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=9c7cefdf25858803&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=71689a1101713c58&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=156d5a7326e6bc24&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=b8726d1eac1f6d1b&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=3a8cca8e2fc7a65a&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=ee66496aa45fc6d1&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=9ca20d27f6b7cf20&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=9ca20d27f6b7cf20&c=737cfdf6cc2ca50e","hirose_120_60_1221.gif","-",11,11,5,"-",10,1,11,10,10,11,11,11,"hirose-fx","http://grp08.ias.rakuten.co.jp/redirect/?r=9ca20d27f6b7cf20&c=737cfdf6cc2ca50e",4
"ＦＸネオ","GMOクリック証券","取引手数料0円、スプレッド：米ドル/円0.3銭固定など、業界最安値水準の取引コスト。
南アフリカランドをはじめ豊富な14通貨ペア。
業界最高水準のスワップレート。
FX無料アプリ　iPhone専用「iClickFX」、Android専用「FXroid」も大好評。
また、安心できる24時間サポートとなっております。",5000,"口座開設","口座開設後取引","FX口座を開設＆10万円入金+お取引で、5,000円分ポイントをプレゼント！",0.3,"原則固定",0.7,"原則固定",1.2,"原則固定",1,"原則固定",1.8,"原則固定",1.9,"原則固定",5,2,14,100,50,140,"業界最高水準のスワップポイント！
また、保有しているポジションを決済することなく、スワップポイントのみ受け取る（出金）が可能。","25倍",0,"1万通貨単位",100%,"50～100%",50%,14,"○","全通貨ペア　業界最小水準のスプレッド&業界最高水準のスワップポイント！","×","×","○","○","即時入金ご利用時無料","0円","-","×","○","×","○","○","○","○","○","三井住友銀行、みずほ信託銀行での100％信託保全","43億4,666万3,925円",258.9,"関東財務局長（金商）第77号","http://grp08.ias.rakuten.co.jp/redirect/?r=3834e1c66626616d&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=07c47f3048cf6d92&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=41fbec67ad10b25d&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=8b489d3fc705bbca&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=fe90e6e4ca6426a4&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=9f56a1a71fc94ffb&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=1a290b7ca6e68078&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=4e138df2e67a2f59&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=8b489d3fc705bbca&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=3834e1c66626616d&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=3834e1c66626616d&c=737cfdf6cc2ca50e","click_120_60_0401.gif","-",10,10,2,"-",4,10,5,3,4,10,10,10,"gmo","http://grp08.ias.rakuten.co.jp/redirect/?r=3834e1c66626616d&c=737cfdf6cc2ca50e",5
"外為ジャパン","DMM.com証券","ドル円0.4銭、ポンド円1.2銭、ユーロ円0.7銭、
豪ドル円1.2銭、ユーロドル0.6pips！
1000通貨単位取引手数料なのでFX初心者にも安心！
すべてのお取引手数料が無料！
充実のモバイル取引環境[iアプリ・iPhone・iPad・Android]
安心の24時間クイック入金と全額信託保全！",15000,"口座開設","口座開設後取引","-",0.4,"原則固定",0.7,"原則固定",1.2,"原則固定",1.2,"原則固定",2.5,"原則固定",3," ",1,-1,9,65,38,10,"-","25倍","-","1,000通貨単位","-","-","60％以下",15,"○","-","×","×","○","○","クイック入金ご利用時無料","0円","0円","×","○","×","○","○","○","○","○","完全信託保全","98億円",513.3,"関東財務局長（金商）第1629号","http://grp08.ias.rakuten.co.jp/redirect/?r=9826a3575c8a85c0&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=0619dc7db91e9ba5&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=b16a2b4974b3f7c0&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=f26a239bc80b782f&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=8eebb3595932d6d1&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=91edc1f361883b64&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=56b9f24ae38bdf7f&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=4495d5cd9317e8aa&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=16e1a6c8e059c647&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=9826a3575c8a85c0&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=9826a3575c8a85c0&c=737cfdf6cc2ca50e","20121011_gaitamejapan_120_60.gif","20121011_gaitamejapan_300_250.gif ",5,2,8,"-",12,9,1,7,9,5,5,5,"gaitamejapan","http://grp08.ias.rakuten.co.jp/redirect/?r=9826a3575c8a85c0&c=737cfdf6cc2ca50e",6
"みんなのFX","トレイダーズ証券","期間中『米ドル円のスプレッド【0.3銭】』（12/14まで）
ユーロ円：0.9銭　ユーロポンド円：1.6銭　ユーロドル：0.9pips　スプレッド原則固定
スマートフォン完全対応！iPhone、iPad、Androidでお申込みからお取引まで可能！",10000,"口座開設","口座開設後取引","「「みんなのＦＸ」への口座開設＋お取引で
楽天スーパーポイント【10,000ポイント】獲得！」",0.3,"原則固定",0.9,"原則固定",1.6,"原則固定",1.9," ",2.2," ","-"," ",2,5,7,98,40,120,"■5周年記念で、キャンペーン期間中は米ドル円スプレッド【0.3銭】　ユーロ円：0.9銭
  ユーロポンド円：1.6銭　ユーロドル：0.9pips　スプレッド原則固定","25倍",100000,"1,000通貨単位",105%,"-",100%,16,"○","■5周年記念で、キャンペーン期間中は米ドル円スプレッド【0.3銭】　ユーロ円：0.9銭
  ユーロポンド円：1.6銭　ユーロドル：0.9pips　スプレッド原則固定","×","×","○","○","ダイレクト入金ご利用時無料","0円","-","×","×","○","○","○","○","○","○","全額信託保全","21億9,500万円",144.2,"関東財務局長（金商）第123号","http://grp08.ias.rakuten.co.jp/redirect/?r=da93684e8b5d0701&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=57a44a7354a589bc&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=4fdc6fd58da45e65&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=51399b5a53d7f120&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=0c909b65cddd09c4&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=4eb01573fd52b9e1&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=3c28a416411066b4&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=7b1a97b0d1d35476&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=2bdc31429d6c0232&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=da93684e8b5d0701&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=da93684e8b5d0701&c=737cfdf6cc2ca50e","20121108_minfx_p_120_60.gif","-",8,7,3,"-",8,8,8,8,7,8,8,8,"traderssec","http://grp08.ias.rakuten.co.jp/redirect/?r=da93684e8b5d0701&c=737cfdf6cc2ca50e",7
"ひまわりＦＸ","ひまわり証券","新規口座開設者限定！「ひまわりFXで10万通貨以上」または、無料・かんたん・選ぶだけのFX自動売買ツール「“エコトレFX”で5万通貨以上」の取引で【1万ポイント】をプレゼント",10000,"口座開設","口座開設後取引","「指定通貨取引高キャンペーン」を実施中！
ユーロ円取引で最大20万円ｷｬｯｼｭﾊﾞｯｸ！
",2.8," ",5," ",8.9," ",5.9," ",7.9," ","-"," ",5,3,15,107,48,14,"スワップで狙うなら高金利通貨の豪ドル/円が人気です！","25倍",0,"1万通貨単位","-","-",100%,24,"○","■ユーロ/円、豪ドル/円
米ドル/円に比べて1日の変動幅が大きめので、特にデイトレードに向いています。","○","×","○","○","ネット入金サービスご利用時無料","0円","-","○","○","×","○","○","○","-","-","全額信託保全","43億3002万8128円",180,"関東財務局長（金商）第150号","http://grp08.ias.rakuten.co.jp/redirect/?r=ac4c7d9b96264a93&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=1f63b767146aba0f&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=d16fd83a11e39a05&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=b195c7c465351412&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=1a3bec7294d54c75&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=7dbfa706979408f1&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=b37141d9f4c0595f&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=0314e607d040f91f&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=5250ee0776be9780&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=ac4c7d9b96264a93&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=ac4c7d9b96264a93&c=737cfdf6cc2ca50e","20120501_himawari_12060.gif ","-",7,8,12,"-",3,7,4,4,5,7,7,7,"himawari","http://grp08.ias.rakuten.co.jp/redirect/?r=ac4c7d9b96264a93&c=737cfdf6cc2ca50e",8
"アイネットFX","アイネット証券","あなたのFXをもっとスマートに！アイネットＦＸ！！
チャートから注文できる直感操作の取引画面はFX初心者でも安心です。
取引手数料は無料、ウィンドウズ/MACに公式対応しています。",5000,"口座開設","口座開設後取引","アイネットFXでのお取引で楽天スーパーポイントをゲットしよう！",0.7," ",1.4," ",2," ",1.5," ",2," ",15," ",5,3,15,107,48,14,"スワップで選ぶなら、やっぱり豪ドル！！アイネットFXでは、豪ドルがらみの通貨ペアを6種類も取り揃えています。","25倍",5000,"1万通貨単位","総取引金額の4％","ロスカットライン×1.5","100%または15%",28,"○","■ドル/円
いまはやっぱりドル/円に注目！ようやく動き出した今後の行方に注目！！","×","×","○","○","クイック入金は振込手数料が無料です。","0円","-","×","○","×","○","○","○","○","○","金銭信託","11億円",411.47,"関東財務局長（金商）第11号","http://grp08.ias.rakuten.co.jp/redirect/?r=a4c83480475462bf&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=63a31128ad59b992&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=560191e7072f2e46&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=5522d75277e65f6c&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=4f09d4cf2900c079&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=d975922452db3e72&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=42bc188b21c54a9a&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=baa0a766263742cf&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=7b506030c5bb1bd3&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=a4c83480475462bf&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=a4c83480475462bf&c=737cfdf6cc2ca50e","20120312_inet_120_60.gif","-",9,9,7,"-",2,2,9,6,8,9,9,9,"inet","http://grp08.ias.rakuten.co.jp/redirect/?r=a4c83480475462bf&c=737cfdf6cc2ca50e",9
"シストレ24","インヴァスト証券","インヴァスト証券が提供する最新のＦＸ自動売買サービス「シスト
レ２４」。搭載されたストラテジーを選ぶだけで始められる、シン
プルなトレード。しかも、各種手数料無料でご利用いただけます。",15000,"口座開設","口座開設後取引","口座開設＋お取引で楽天スーパーポイント15,000ポイントプレゼント！","-"," ","-"," ","-"," ","-"," ","-"," ","-"," ",1,-7,7,98,41,10,"ロング（買い）注文に特化し、為替差益とスワップを狙うストラテジーもございます。","25倍",0,"１万通貨単位","-","125%（必要証拠金率80%）",100%,26,"○","２６通貨ペアに対応したストラテジーを各種
ご用意。お取引の幅が広がります。","×","×","○","○","即時入金ご利用時無料","0円","-","×","×","×","○","○","×","-","-","信託保全","59億6,508万円",1312.8,"関東財務局長（金商）第26号","http://grp08.ias.rakuten.co.jp/redirect/?r=a357dd6d03672e31&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=20f95d6f77b248d0&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=840b0b6d3a59abe2&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=a357dd6d03672e31&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=549278ec8ff5de61&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=4f7b57c88a366cb7&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=fdcaca7b86205362&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=f87c8b5346838179&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=df7ad00b719174fc&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=a357dd6d03672e31&c=737cfdf6cc2ca50e","http://grp08.ias.rakuten.co.jp/redirect/?r=a357dd6d03672e31&c=737cfdf6cc2ca50e","20120514_invast_120_60.gif","-",6,3,13,"-",6,3,14,13,2,6,6,6,"invast","http://grp08.ias.rakuten.co.jp/redirect/?r=a357dd6d03672e31&c=737cfdf6cc2ca50e",10
